project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp-new	76390	dbgi_012616	canonical	dbgi_012616	Saxifraga aizoides		Saxifraga aizoides	20260702145938	14.412068	50.121704	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76391	dbgi_012526	canonical	dbgi_012526	Saxifraga paniculata		Saxifraga paniculata	20260702150216	14.412072	50.121716	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76392	dbgi_012543	canonical	dbgi_012543	Saxifraga paniculata		Saxifraga paniculata	20260702150443	14.412072	50.121716	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76393	dbgi_012603	canonical	dbgi_012603	Saxifraga sp.		Saxifraga sp.	20260702150711	14.4120455	50.12171	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76394	dbgi_012614	canonical	dbgi_012614	Oenanthe silaifolia		Oenanthe silaifolia	20260702150855	14.412039	50.121696	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76395	dbgi_012598	canonical	dbgi_012598	Oenanthe silaifolia		Oenanthe silaifolia	20260702151035	14.412039	50.121696	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76396	dbgi_012551	canonical	dbgi_012551	Oenanthe silaifolia		Oenanthe silaifolia	20260702151215	14.412039	50.121696	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76397	dbgi_012542	canonical	dbgi_012542	Narthecium ossifragum		Narthecium ossifragum	20260702151425	14.412045	50.121685	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76398	dbgi_012605	canonical	dbgi_012605	"Thesium 
linophyllon"		"Thesium 
linophyllon"	20260702151626	14.41201	50.12169	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76399	dbgi_012635	canonical	dbgi_012635	"Thesium 
linophyllon"		"Thesium 
linophyllon"	20260702151901	14.41201	50.12169	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76400	dbgi_012669	canonical	dbgi_012669	Groenlandia densa		Groenlandia densa	20260702152411	14.412016	50.1217	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76401	dbgi_012404	canonical	dbgi_012404	Groenlandia densa		Groenlandia densa	20260702152623	14.412011	50.12169	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76402	dbgi_012641	canonical	dbgi_012641	Groenlandia densa		Groenlandia densa	20260702152811	14.412011	50.12169	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76403	dbgi_012630	canonical	dbgi_012630	Coriaria japonica		Coriaria japonica	20260702153440	14.412037	50.121727	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76404	dbgi_012710	canonical	dbgi_012710	Coriaria japonica		Coriaria japonica	20260702153757	14.412037	50.121727	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76405	dbgi_012711	canonical	dbgi_012711	Carex shimidzensis		Carex shimidzensis	20260702154006	14.412026	50.121708	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76406	dbgi_012274	canonical	dbgi_012274	Carex shimidzensis		Carex shimidzensis	20260702154147	14.412026	50.121708	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76407	dbgi_012644	canonical	dbgi_012644	Carex shimidzensis		Carex shimidzensis	20260702154320	14.412026	50.121708	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76408	dbgi_012705	canonical	dbgi_012705	Carex pulicaris		Carex pulicaris	20260702154814	14.412062	50.121727	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76409	dbgi_012691	canonical	dbgi_012691	Carex pulicaris		Carex pulicaris	20260702155012	14.412062	50.121727	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76410	dbgi_012697	canonical	dbgi_012697	Poa crassipes		Poa crassipes	20260702160015	14.412048	50.12174	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76411	dbgi_012628	canonical	dbgi_012628	Poa crassipes		Poa crassipes	20260702160139	14.412048	50.12174	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76412	dbgi_012687	canonical	dbgi_012687	Danthonia alpina		Danthonia alpina	20260702160338	14.412058	50.121746	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76413	dbgi_012699	canonical	dbgi_012699	Danthonia alpina		Danthonia alpina	20260702160545	14.412058	50.121746	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76414	dbgi_012359	canonical	dbgi_012359	Koeleria glauca		Koeleria glauca	20260702160727	14.412077	50.121735	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76415	dbgi_012401	canonical	dbgi_012401	Poa badensis		Poa badensis	20260702161210	14.412091	50.121716	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76416	dbgi_012708	canonical	dbgi_012708	Carex atrata		Carex atrata	20260702161431	14.412087	50.121708	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76417	dbgi_012527	canonical	dbgi_012527	Potamogeton perfoliatus		Potamogeton perfoliatus	20260702161735	14.412104	50.12173	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76418	dbgi_012336	canonical	dbgi_012336	Potamogeton perfoliatus		Potamogeton perfoliatus	20260702162621	14.412127	50.121723	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76419	dbgi_012629	canonical	dbgi_012629	Potamogeton perfoliatus		Potamogeton perfoliatus	20260702162830	14.412127	50.121723	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76420	dbgi_012278	canonical	dbgi_012278	Apium repens		Apium repens	20260702163139	14.41211	50.1217	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76421	dbgi_012665	canonical	dbgi_012665	Apium repens		Apium repens	20260702163425	14.41211	50.1217	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76422	dbgi_012262	canonical	dbgi_012262	Apium repens		Apium repens	20260702163809	14.41211	50.1217	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76423	dbgi_012636	canonical	dbgi_012636	Carex distans		Carex distans	20260702164041	14.412039	50.12167	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76424	dbgi_012684	canonical	dbgi_012684	Carex distans		Carex distans	20260702164259	14.412039	50.12167	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76425	dbgi_012634	canonical	dbgi_012634	Carex otrubae		Carex otrubae	20260702164521	14.412062	50.12167	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76426	dbgi_012661	canonical	dbgi_012661	Carex otrubae		Carex otrubae	20260702164650	14.412062	50.12167	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76427	dbgi_012657	canonical	dbgi_012657	Carex otrubae		Carex otrubae	20260702164827	14.412062	50.12167	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76428	dbgi_012620	canonical	dbgi_012620	Lolium temulentum		Lolium temulentum	20260702165103	14.41208	50.121677	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76429	dbgi_012716	canonical	dbgi_012716	Lolium temulentum		Lolium temulentum	20260702165555	14.41208	50.121677	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76430	dbgi_012690	canonical	dbgi_012690	Lolium temulentum		Lolium temulentum	20260702165749	14.41208	50.121677	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76431	dbgi_012643	canonical	dbgi_012643	Lolium temulentum		Lolium temulentum	20260702170006	14.41208	50.121677	out_of_ch_range	coordinates_out_of_ch_range
